,State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
0,Bihar,Araria,Forbesganj,Potato,Jyoti,FAQ,01-09-2024,2200,2700,2500
1,Bihar,Kishanganj,Bahadurganj,Potato,Jyoti,FAQ,01-09-2024,2500,2700,2600
2,Bihar,Madhubani,Jainagar,Onion,Medium,FAQ,01-09-2024,4200,4400,4300
3,Bihar,Rohtas,Natwar,Potato,Jyoti,FAQ,01-09-2024,2400,2800,2600
4,Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Ginger(Green),FAQ,FAQ,01-09-2024,3000,5000,4000
5,Gujarat,Amreli,Damnagar,Coriander(Leaves),Coriander,FAQ,01-09-2024,4200,5050,4750
6,Gujarat,Chhota Udaipur,Bodeliu,Cotton,Shanker 6 (B) 30mm FIne,FAQ,01-09-2024,6800,7000,6900
7,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,Apple,Medium,01-09-2024,6000,13000,9500
8,Gujarat,Rajkot,Gondal(Veg.market Gondal),Cucumbar(Kheera),Cucumbar,FAQ,01-09-2024,2000,3500,2750
9,Gujarat,Rajkot,Gondal(Veg.market Gondal),Green Chilli,Green Chilly,FAQ,01-09-2024,2000,5000,3500
10,Gujarat,Rajkot,Gondal(Veg.market Gondal),Potato,Potato,FAQ,01-09-2024,480,540,510
11,Haryana,Gurgaon,Gurgaon,Cauliflower,FAQ,FAQ,01-09-2024,3000,5000,4000
12,Haryana,Gurgaon,Gurgaon,Onion,FAQ,FAQ,01-09-2024,2000,4000,3000
13,Haryana,Gurgaon,Gurgaon,Pomegranate,FAQ,Large,01-09-2024,5000,10000,7500
14,Haryana,Hissar,Hansi,Brinjal,FAQ,FAQ,01-09-2024,1200,1500,1400
15,Haryana,Hissar,Hansi,Guava,FAQ,Medium,01-09-2024,3000,3500,3300
16,Haryana,Hissar,Hansi,Lemon,FAQ,FAQ,01-09-2024,5000,6000,6000
17,Haryana,Hissar,Hansi,Ridgeguard(Tori),FAQ,FAQ,01-09-2024,1500,1500,1500
18,Haryana,Hissar,Hansi,Spinach,FAQ,FAQ,01-09-2024,1000,1000,1000
19,Haryana,Hissar,Hissar,Banana,FAQ,Medium,01-09-2024,1500,1500,1500
20,Haryana,Hissar,Hissar,Cucumbar(Kheera),FAQ,FAQ,01-09-2024,2000,2200,2200
21,Haryana,Hissar,Hissar,Potato,FAQ,FAQ,01-09-2024,1800,2600,2300
